CompanyName,Ldcp,Open,High,Low,Current,Change,Volume
Apna Microfin.,9.33,9.33,9.33,8.33,8.79,-0.54,"12,348"
Arif Habib Limited.,76.15,77.85,77.85,73.5,73.5,-1.48,"62,480"
Calcorp Limited,45.01,46.0,48.98,46.0,48.98,0.99,"1,101"
Cyan LimitedXD,29.03,29.83,29.85,28.86,29.67,0.62,"17,951"
Dawood Equities,9.04,9.01,9.14,8.7,9.0,-0.04,"67,928"
Dawood Law,227.90,245.0,245.0,227.59,237.98,10.09,707
DH Partners Ltd.XD,35.32,35.2,38.85,34.99,37.5,2.81,"820,578"
Engro Holdings,176.58,177.7,185.4,177.25,183.53,6.95,"6,628,763"
Escorts Bank,6.45,6.18,6.18,6.18,6.18,,100
F. Nat.Equities,3.04,3.04,3.2,3.03,3.06,0.01,"215,987"
F.Credit & Inv,7.60,7.98,7.98,7.98,7.98,,"1,010"
First Cap.Equit,3.98,3.84,3.84,3.84,3.84,,200
First Dawood Prop,2.13,2.25,2.25,2.11,2.21,0.08,"43,785"
Imperial Limite,15.86,17.3,17.37,15.21,16.99,0.61,"3,218"
Intermarket Sec.XD,56.11,55.51,55.99,50.5,51.31,-4.73,"91,218"
Invest Bank,1.40,1.43,1.45,1.34,1.36,-0.03,"503,983"
Ist.Capital Sec,1.40,1.38,1.44,1.38,1.42,,"282,863"
Jah.Sidd. Co.,16.63,16.9,17.08,16.7,16.89,0.21,"185,907"
JS Global Cap.,101.75,102.0,105.0,102.0,104.9,3.22,"4,116"
JS Investments,22.10,21.6,22.49,21.6,21.6,-0.2,"1,705"
LSE Capital Ltd.,5.00,5.19,5.5,5.11,5.31,0.31,"183,487"
LSE Fin. Services,26.61,26.99,29.27,26.99,29.27,2.59,"11,450"
LSE Ventures Ltd,9.52,9.03,10.52,9.03,10.52,1.0,"620,856"
MCB Inv MGT,93.76,91.0,103.14,91.0,103.14,9.38,"7,727"
Next Capital,8.00,7.9,7.9,7.32,7.88,-0.23,"1,311"
OLP FinancialXD,37.75,38.28,38.28,38.0,38.0,0.25,"22,715"
Pak Stock Exchange,26.80,26.81,27.4,26.67,26.98,0.19,"1,204,781"
Pervez Ahmed Co,1.08,1.1,1.1,1.06,1.08,-0.01,"128,522"
PIA Holding Company,16.79,16.79,16.79,16.42,16.5,-0.28,"2,609,747"
PIA Holding CompanyB,"12,457.67",13703.44,13703.44,13703.44,13703.44,1245.77,4
Sec. Inv. Bank,9.00,8.51,9.25,8.07,8.07,-0.74,"3,145"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Crescent Jute,3.22,3.27,3.27,3.1,3.1,-0.11,"141,430"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Gulf Leasing,20.12,22.0,22.0,20.0,21.25,0.92,776
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bata (Pak) Ltd.,"1,550.00",1535.0,1550.0,1470.0,1539.99,-14.32,"2,323"
Leather Up Ltd.,28.30,27.02,30.69,27.01,29.99,0.27,"4,052"
Pak Leather,29.56,28.96,28.96,28.96,28.96,,219
Service Global,78.08,79.0,80.94,77.0,77.0,-0.65,"3,715"
Service Ind.Ltd,"1,089.29",1112.0,1112.0,1065.0,1100.0,10.71,"4,426"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AKD Hospitality,132.26,136.98,145.49,136.0,145.49,13.23,"10,565"
AL-Khair Gadoon,44.50,48.9,48.9,48.9,48.9,,1
Arpak Int.,61.60,62.0,62.0,62.0,62.0,,10
Diamond Ind.,24.95,22.66,26.96,22.5,23.01,-1.79,"6,762"
ECOPACK Ltd,36.34,37.0,37.0,36.0,36.14,-0.17,"13,980"
Gammon Pak,25.82,26.0,26.0,24.05,24.9,-1.05,"137,867"
GOC (Pak) Ltd.,61.00,61.0,62.0,61.0,62.0,1.0,"1,973"
Mandviwala,18.04,18.0,18.5,17.5,18.0,-0.04,"35,137"
Olympia Mills,51.57,47.11,52.0,47.0,47.0,-4.55,"11,293"
Pak Services,936.01,930.02,949.0,930.01,932.0,-4.01,509
Pakistan Alumin,107.56,109.79,113.0,108.01,112.5,5.08,"130,348"
Shifa Int.Hospital,458.85,470.0,470.0,450.05,455.3,-3.1,"18,076"
Siddiqsons Tin,5.48,5.54,5.87,5.3,5.58,0.12,"1,985,244"
Tri-Pack Films,124.18,128.0,130.0,122.0,127.5,3.32,"13,077"
UDL Int.Ltd.,8.08,8.0,8.0,8.0,8.0,,22
United Brands,26.08,26.01,27.33,25.2,27.0,0.65,"49,272"
United Distributor,61.50,60.45,62.44,60.45,61.3,0.3,"1,542"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
1st.Fid.Leasing,2.00,1.9,2.19,1.87,1.99,-0.01,"31,273"
AL-Noor Mod,2.91,3.09,3.09,3.09,3.09,0.18,500
B.F.Modaraba,7.86,8.08,8.2,7.86,7.9,0.32,"40,606"
Elite Cap.Mod,18.87,19.87,19.87,17.55,17.55,0.85,"1,616"
Equity Modaraba,3.45,3.49,3.49,2.9,3.1,-0.34,"41,277"
F.Treet Manuf,4.00,4.18,4.39,4.0,4.1,0.38,"12,882"
Habib Modaraba,21.51,21.84,21.9,21.51,21.9,0.04,"25,612"
I.B.L.Modarab,3.25,3.25,3.25,3.2,3.2,-0.05,"5,317"
OLP Modaraba,16.11,16.55,16.55,16.27,16.4,,207
Orient Rental,9.05,9.75,9.75,9.3,9.3,0.62,601
Paramount Mod,7.12,7.92,8.0,7.4,7.99,0.86,"14,358"
Popular Islamic,12.51,13.76,13.76,13.76,13.76,1.25,526
Prud Mod.1st,1.96,2.05,2.05,1.92,1.99,0.03,"21,964"
Punjab Mod,2.88,2.98,2.98,2.6,2.81,0.08,"18,502"
Sindh Modaraba,11.05,11.24,11.24,10.8,10.85,-0.2,"3,008"
Tri-Star 1st Mod.,13.51,13.3,13.3,12.51,13.25,-0.03,162
Trust Modaraba,5.20,5.33,5.49,5.14,5.35,0.11,"314,177"
Unicap Modaraba,2.90,2.76,2.99,2.76,2.79,-0.1,"31,625"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Mari Energies Ltd.,641.08,649.97,649.97,617.55,621.99,-17.97,"1,567,108"
Oil & Gas DevXD,211.50,213.0,213.51,209.4,211.5,0.2,"4,668,009"
Pak Oilfields,537.29,540.0,542.5,533.6,536.25,1.33,"83,353"
Pak PetroleumXD,172.39,174.4,177.99,172.6,175.8,3.36,"8,304,279"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Petroleum,455.18,451.0,459.7,451.0,455.0,-1.54,"7,647"
Burshane LPG,29.09,29.97,31.7,28.75,31.4,2.33,"147,504"
Hascol Petrol,9.99,10.1,10.13,9.83,9.92,-0.11,"1,900,251"
HI-Tech Lub.,41.33,41.33,41.9,40.83,40.89,-0.43,"140,528"
Oilboy Energy,9.06,9.0,9.37,8.91,9.09,0.03,"53,714"
P.S.O.,379.95,388.0,391.0,383.3,384.74,5.37,"3,779,048"
Sui North GasXD,119.90,121.0,122.3,119.8,120.17,0.32,"2,853,598"
Sui South Gas,35.69,36.03,36.34,35.75,35.85,0.14,"6,752,470"
Wafi Energy Pak,167.20,168.05,170.0,166.0,167.7,-0.88,"76,826"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Century Paper,24.06,24.19,25.1,24.19,25.0,0.9,"797,627"
Cherat Packaging,101.76,104.5,104.5,102.0,103.0,1.24,"40,116"
Int. Packaging Films,21.00,21.0,21.0,20.98,21.0,,"13,954"
MACPAC Films,15.18,15.3,15.4,15.1,15.29,0.12,"29,013"
Merit Packaging,9.33,9.35,9.65,9.1,9.6,0.1,"51,763"
Packages Ltd.,523.26,515.01,525.0,515.01,519.95,-3.31,"5,480"
Pak Paper Prod,142.02,140.0,144.0,138.0,139.0,-3.02,"2,439"
Roshan Packages,14.52,14.75,15.97,14.49,15.97,1.29,"1,732,142"
Security Paper,153.47,154.73,155.0,153.75,155.0,1.52,"10,074"
SPEL LimitedXD,39.78,40.2,40.4,39.55,40.1,0.12,"452,192"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abbott Lab.,979.75,979.75,980.0,965.0,965.27,-11.89,"15,465"
AGP Limited,185.29,188.0,188.0,183.0,188.0,1.45,"277,052"
BF Biosciences,168.03,173.0,176.0,166.3,171.55,4.39,"4,437,348"
Citi Pharma Ltd,87.45,88.6,89.48,86.55,87.0,-0.25,"2,667,592"
Ferozsons (Lab),279.28,285.5,307.21,285.0,303.0,24.53,"706,173"
GlaxoSmithKline,379.09,381.0,382.0,373.0,378.0,-2.43,"239,013"
Haleon Pakistan,734.27,736.0,739.0,720.0,727.0,-7.25,"74,578"
Highnoon (Lab),921.16,921.16,929.9,901.0,917.99,-5.55,"12,670"
Hoechst Pak Ltd,"3,249.00",3281.0,3284.0,3152.02,3250.0,-50.96,19
IBL HealthCare,37.62,38.38,40.92,37.75,40.0,2.12,"1,732,911"
Liven Pharma,68.54,71.0,74.45,66.5,66.9,-0.4,"1,368,427"
Macter Int. Ltd,365.69,365.69,375.0,352.16,356.5,-9.18,"11,637"
Otsuka Pak,252.26,265.0,277.49,240.1,277.49,25.23,"466,804"
The Searle Company,86.36,86.93,88.2,85.7,86.5,0.11,"2,488,401"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Altern Energy,11.77,11.83,11.84,11.71,11.82,0.04,"186,320"
Engro Powergen,27.14,27.49,27.49,27.05,27.29,0.01,"303,759"
Hub Power Co.,140.73,142.0,142.0,140.01,140.5,-0.28,"2,660,707"
K-Electric Ltd.,4.40,4.4,4.46,4.35,4.4,-0.01,"8,553,628"
Kohinoor Energy,16.70,16.97,16.97,16.6,16.69,0.01,"770,220"
Kohinoor Power,6.00,6.4,6.4,5.94,5.94,-0.03,"4,721"
Kot Addu Power,31.05,31.23,31.33,30.91,31.15,0.09,"195,577"
Lalpir Power,23.75,24.24,24.24,23.0,23.1,-0.44,"260,744"
Nishat ChunPowerXD,23.58,23.9,23.9,23.6,23.9,0.27,"109,016"
Nishat Power,35.53,35.98,36.07,35.66,36.0,0.5,"136,551"
Pakgen PowerXD,114.14,120.0,120.0,117.5,118.06,5.57,"7,339"
S.G.Power,8.39,8.0,8.84,7.86,8.3,-0.1,"6,696"
Saif Power Ltd,11.51,11.54,11.89,11.5,11.78,0.26,"281,803"
Sitara Energy,10.84,10.9,10.9,10.9,10.9,,1
Tri-Star Power,6.46,6.3,6.73,6.27,6.66,0.04,"6,989"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
B.R.R Guardia Ltd,22.40,21.12,24.59,21.12,23.99,0.75,"31,831"
Hussain Industries,26.65,26.0,26.0,26.0,26.0,-0.65,500
Javedan Corp.,59.99,61.4,65.9,61.4,61.5,1.95,"568,143"
Pace (Pak) Ltd.,5.36,5.39,5.46,5.17,5.38,-0.05,"923,622"
TPL Properties,8.92,8.91,9.36,8.9,9.11,0.22,"5,011,879"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Dolmen City,26.24,26.24,26.55,26.19,26.35,0.17,"304,823"
Globe Residency,16.14,16.15,16.29,16.0,16.25,0.11,"10,581"
TPL REIT Fund I,13.39,13.5,14.5,13.4,13.4,0.05,"16,813"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Refinery,608.32,618.0,619.95,599.0,600.0,-7.21,"506,292"
Cnergyico PK,7.68,7.7,7.8,7.55,7.72,0.02,"6,496,639"
National Refinery,233.91,236.0,241.0,226.03,227.5,-5.64,"391,182"
Pak Refinery,33.43,33.6,33.77,32.35,32.49,-0.93,"6,071,975"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abdullah Shah,5.52,5.8,6.52,5.56,6.22,0.66,"544,688"
Adam Sugar,55.19,55.38,55.5,50.26,53.7,-0.14,"5,260"
Al-Abbas Sugar,768.83,803.0,803.0,762.11,785.16,16.09,232
AL-Noor Sugar,82.30,88.0,88.0,74.25,80.0,0.06,410
Chashma Sugar,68.74,66.0,69.9,64.11,64.11,-3.79,856
Dewan Sugar,5.57,5.6,5.85,5.5,5.63,0.07,"102,345"
Faran Sugar Mills,47.60,51.0,51.0,43.5,44.0,-3.27,"122,805"
Habib Rice Prod,32.00,31.69,31.69,31.69,31.69,-0.31,"1,009"
Habib Sugar,71.95,70.37,70.98,70.0,70.94,-1.36,"6,800"
Haseeb Waqas Sugar,9.32,9.32,10.32,9.25,9.75,0.67,"243,392"
J.D.W.Sugar,940.49,940.49,960.0,925.0,959.0,10.62,468
Jauharabad Sug,42.53,42.53,43.99,40.31,42.99,0.43,"21,935"
Mehran Sugar,48.00,46.51,47.78,46.3,47.78,-1.52,"11,951"
Mirpurkhas Sugar,28.85,29.0,29.0,26.5,28.37,-0.65,"489,746"
Noon Sugar,78.75,84.44,84.6,84.44,84.6,,100
Sakrand Sugar,11.80,11.0,11.95,11.0,11.89,-0.05,"371,078"
Sanghar Sugar,59.05,61.88,61.88,53.16,58.0,-2.8,"1,024"
Shahmurad Sugar,365.00,370.0,370.0,360.0,360.0,-0.03,"31,139"
Shahtaj Sugar,125.29,115.02,124.99,115.02,124.99,-7.41,245
Shakarganj Limited,70.05,70.05,72.5,69.0,71.0,0.95,"65,422"
Sindh Abadgar,62.51,62.0,62.0,62.0,62.0,,1
Tandlianwala Sugar,170.40,175.0,175.0,159.0,174.0,-7.24,878
Tariq Corp Ltd.,15.54,15.1,15.6,14.77,15.3,-0.12,"214,634"
Tariq Corp(Pref),8.11,7.15,7.16,7.15,7.16,,6
Thal Ind.Corp.,320.58,333.0,350.0,310.1,350.0,,19
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Gatron Ind.,111.46,113.0,115.88,111.16,111.16,-0.27,"2,810"
Ibrahim Fibres,339.87,347.5,347.5,328.0,338.0,-10.05,104
Image PakistanXD,23.11,23.39,24.0,23.25,23.65,0.58,"3,185,090"
National Silk,50.04,45.6,52.9,45.6,52.9,,11
Pak Synthetics,62.34,66.0,67.9,56.25,61.0,-0.95,"54,177"
Rupali Polyester,18.28,19.74,20.11,19.51,20.11,1.83,"118,733"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Air Link Commun,159.96,162.0,162.0,157.0,158.5,-1.88,"491,207"
Avanceon Ltd,51.21,51.15,52.0,50.32,50.5,-0.7,"977,078"
Hum Network,12.56,12.15,12.63,12.15,12.49,-0.11,"877,152"
Media Times Ltd,1.85,1.89,1.89,1.81,1.85,,"8,360"
Netsol Tech.,140.24,141.5,141.98,137.5,138.5,-1.44,"963,581"
Octopus Digital,54.10,55.01,55.98,52.77,54.0,-0.75,"879,529"
P.T.C.L.,22.72,22.99,22.99,21.9,22.0,-0.69,"2,448,066"
Pak Datacom,107.80,109.0,112.0,105.05,112.0,2.09,"28,552"
Supernet Technologie,825.00,824.0,824.0,824.0,824.0,,2
Symmetry Group Ltd,15.28,15.59,15.59,15.02,15.11,-0.13,"3,041,636"
Systems LimitedXD,543.79,544.0,545.0,538.0,540.99,-3.89,"106,502"
Telecard Limited,7.46,7.5,7.62,7.39,7.48,0.08,"4,544,383"
TPL Corp Ltd,4.54,4.69,4.69,4.35,4.57,-0.02,"792,248"
TPL Trakker Ltd,5.96,6.01,6.01,5.9,5.9,-0.06,"82,130"
TRG Pak Ltd,63.39,63.1,64.06,62.5,62.62,-0.68,"1,360,379"
WorldCall Telecom,1.26,1.26,1.27,1.25,1.26,,"11,543,439"
Zarea Limited,15.89,16.12,16.5,15.89,15.99,0.1,"819,308"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ahmed Hassan,54.00,59.4,59.4,59.4,59.4,,20
AN Textile Mill,13.06,14.37,14.37,14.37,14.37,1.31,"6,821"
Artistic Denim,39.01,38.9,41.44,38.56,41.0,1.99,"28,271"
Aruj Industries,7.69,7.97,7.97,7.62,7.82,0.02,"59,639"
Azgard Nine,7.90,7.9,8.4,7.9,8.15,0.3,"3,126,418"
Bhanero Tex.,760.00,770.0,770.01,686.0,719.99,-59.74,"1,181"
Blessed Tex.,268.81,286.0,290.0,258.01,266.22,,25
Chenab Limited,6.00,6.0,6.19,5.14,5.69,-0.32,"559,138"
Chenab Ltd.(Pre,2.50,2.55,2.7,2.5,2.51,0.2,"37,177"
Crescent Tex.,13.61,13.8,14.19,13.5,13.79,0.16,"299,150"
Fazal Cloth,130.09,143.1,143.1,143.0,143.1,13.01,"13,117"
Feroze 1888,59.97,62.0,62.31,59.05,60.9,0.03,"48,870"
Ghazi Fabrics,10.48,10.98,10.98,10.13,10.35,-0.13,"28,383"
Gul Ahmed,22.18,22.5,23.0,21.96,22.68,0.53,"15,459,424"
Hafiz Limited,270.05,250.0,280.0,250.0,272.0,7.89,200
Hala Enterprise,13.80,14.0,15.18,14.0,15.18,1.38,"62,537"
Int.Knitwear,13.91,14.2,14.55,14.2,14.4,0.5,"9,893"
Interloop Ltd.,57.02,57.02,59.75,57.02,58.25,1.74,"1,593,975"
Jubilee Spinning,8.28,8.5,8.69,8.02,8.69,0.41,726
Khyber Textile,"1,183.53",1301.88,1301.88,1301.88,1301.88,118.35,81
Kohinoor Ind.,11.14,11.14,11.3,10.22,10.9,-0.28,"12,101"
Kohinoor Mills,31.52,31.52,32.86,30.0,32.86,-1.49,505
Kohinoor Textile,161.70,164.99,169.99,160.0,169.99,7.66,"25,646"
Masood Textile,53.50,58.0,58.0,50.5,51.05,-2.88,810
Mehmood Tex.,309.46,305.59,314.99,285.02,311.79,,76
Nishat (Chun.),36.00,36.1,37.49,36.03,36.7,0.7,"91,927"
Nishat Mills Ltd,109.04,110.0,115.3,110.0,113.55,4.93,"3,880,482"
Paramount Sp,3.11,3.58,3.58,3.15,3.55,0.12,"2,763"
Quetta Textile,14.43,13.12,15.87,13.12,15.87,1.44,"135,147"
Redco Textile,25.06,25.0,25.98,25.0,25.0,-0.06,"54,900"
Reliance Weaving,109.95,120.95,120.95,120.94,120.94,,30
Sapphire Fiber,"1,069.00",1065.0,1133.0,1065.0,1070.0,3.77,104
Sapphire Tex.,"1,119.10",1100.0,1231.01,1008.0,1101.0,18.77,889
Stylers Int.Ltd.XD,41.50,41.49,41.49,39.06,39.75,-0.5,"1,952"
Suraj Cotton Mills,105.68,110.99,110.99,101.0,104.5,-2.39,"11,654"
Towellers Limited,118.15,118.97,119.99,117.01,119.8,1.76,"8,210"
ZahidJee Tex.,26.55,25.6,25.99,25.1,25.99,-1.4,954
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ali Asghar Textile,41.50,43.2,43.2,42.98,42.98,,96
Amtex Limited,2.61,2.73,2.73,2.6,2.68,-0.01,"46,661"
Arctic Textile,25.99,28.5,28.59,24.65,28.59,2.6,"279,384"
Asim Textile,12.50,13.39,13.39,13.39,13.39,,400
Bilal Fibres,19.68,20.02,20.45,17.71,18.0,-1.37,"501,582"
Chakwal Spinning,45.67,45.0,47.3,44.01,44.99,-0.94,"149,224"
Colony Tex.Mills Ltd,3.53,3.53,3.64,3.51,3.54,0.07,"19,169"
Crescent Cotton,48.20,48.2,48.59,48.2,48.5,,281
D.S. Ind. Ltd.,4.40,4.31,4.49,4.28,4.45,0.04,"191,867"
Dewan Farooque Sp.,3.00,2.9,3.16,2.9,2.98,0.03,"308,304"
Dewan Mushtaq,10.83,10.88,11.55,10.85,11.55,0.6,"6,790"
Dewan Textile,6.07,6.19,6.19,5.85,5.85,-0.22,"1,181"
Din Textile,45.00,48.74,48.74,48.74,48.74,,1
Elahi Cotton,113.52,124.65,124.87,102.26,120.0,11.23,"1,406"
Ellcot Spinning,106.32,104.99,105.0,102.0,104.98,-4.32,"1,006"
Gadoon Textile,318.00,320.0,329.0,318.0,323.0,5.0,"15,821"
Gulistan Sp.,8.10,8.05,8.1,8.0,8.0,-0.1,"3,117"
Gulshan Sp.,3.57,3.49,3.64,3.48,3.56,-0.01,"23,230"
Hira Textile,3.03,3.12,3.35,2.96,3.18,0.14,"773,451"
Ideal Spinning,12.75,12.24,12.24,12.24,12.24,-0.51,615
Idrees Textile,16.54,16.98,16.99,16.75,16.75,0.21,"3,150"
Indus Dyeing,140.32,143.9,144.4,138.0,138.65,-1.18,"36,264"
J.A.Textile,22.40,22.99,22.99,20.52,21.0,-1.37,"10,227"
J.K.Spinning,61.00,55.01,55.01,54.9,54.9,-6.03,498
Janana D Mal,50.01,53.0,55.01,53.0,55.01,5.0,"109,971"
Kohat Textile,30.87,30.98,33.96,29.0,33.96,3.09,"108,768"
Kohinoor Spining,5.15,5.16,5.2,5.03,5.08,-0.08,"5,069,287"
Maqbool Textile,35.95,39.53,39.53,32.8,39.4,3.53,556
Nagina Cotton,48.01,52.8,52.81,52.8,52.81,4.8,"1,100"
Nazir Cotton Mills,13.60,13.5,14.4,12.6,13.49,-0.65,"15,502"
Premium Tex.,380.35,370.01,370.01,370.01,370.01,,1
Reliance Cotton,443.62,440.0,458.97,431.0,435.0,-8.99,439
Ruby Textile,7.68,7.41,7.43,7.41,7.43,,40
Saif Textile,9.21,9.39,9.8,9.31,9.31,0.32,"1,708"
Sally Textile,8.25,8.0,8.4,8.0,8.4,0.15,"1,540"
Sana Ind.,23.12,23.1,23.1,23.1,23.1,,332
Saritow Spinning,13.28,12.76,13.1,12.76,12.77,-0.48,"3,471"
Service Ind Tex,15.27,16.8,16.8,16.0,16.8,1.53,"99,141"
Shadab Textile,23.74,24.0,24.5,23.85,24.44,0.36,"6,694"
Shadman Cotton,31.90,31.8,31.8,31.5,31.5,,20
Sunrays Textile,224.55,229.0,229.99,213.0,215.0,-9.28,"44,047"
Tata Textile,42.11,42.69,43.0,40.4,43.0,0.87,"15,689"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ashfaq Textile,12.34,13.0,13.0,13.0,13.0,,1
ICC Industries,10.48,10.48,10.8,9.61,10.49,-0.28,"5,110"
Prosperity Weaving,36.06,36.9,39.67,36.0,39.0,2.94,"10,562"
Shahtaj Textile,76.11,76.2,83.7,72.04,72.04,,252
Yousuf Weaving,3.63,3.72,3.72,3.57,3.62,0.01,"262,045"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Khyber Tobacco,369.15,370.01,373.0,355.0,360.0,-8.95,"13,025"
Pak Tobacco,"1,199.18",1181.0,1248.0,1181.0,1200.0,-7.54,"1,713"
Philip Morris Pak.,"1,099.81",1137.98,1137.98,1082.3,1114.91,10.42,94
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Cordoba Logist,15.55,16.0,16.0,14.15,16.0,0.26,"10,175"
P.N.S.C,313.53,324.0,339.97,313.0,320.85,3.89,"167,698"
Pak Int.Bulk,8.72,8.63,8.88,8.63,8.8,0.08,"3,927,542"
Pak.Int.Container,38.80,38.8,38.97,38.4,38.8,-0.21,"32,865"
Secure Logistics Gro,15.96,16.1,16.2,15.41,15.5,-0.41,"1,004,198"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Punjab Oil,205.50,226.05,226.05,226.05,226.05,20.55,"15,034"
S.S.Oil,833.77,840.0,894.88,756.0,850.0,21.71,"109,862"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bannu Woollen,33.14,33.15,35.25,32.5,33.9,0.64,"20,694"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
